gene,ligand,tf,pair,cell_type,mean,std,n
CD4,IL18,ELK1,IL18#ELK1,Endothelial,0.0,0.0,243
CD4,ADM,ELK1,ADM#ELK1,Endothelial,0.0,0.0,243
CD4,VEGFA,ETS1,VEGFA#ETS1,Endothelial,0.0,0.0,243
CD4,IGF1,FOXO3,IGF1#FOXO3,Endothelial,0.0,0.0,243
CD4,BMP4,GATA2,BMP4#GATA2,Endothelial,0.0,0.0,243
CD4,IFNG,HDAC2,IFNG#HDAC2,Endothelial,0.0,0.0,243
CD4,IL26,HDAC2,IL26#HDAC2,Endothelial,0.0,0.0,243
CD4,IL18,KLF16,IL18#KLF16,Endothelial,0.0,0.0,243
CD4,IL26,KLF16,IL26#KLF16,Endothelial,0.0,0.0,243
CD4,VEGFC,MAX,VEGFC#MAX,Endothelial,0.0,0.0,243
CD4,EBI3,MAX,EBI3#MAX,Endothelial,0.0,0.0,243
CD4,IL26,MAX,IL26#MAX,Endothelial,0.0,0.0,243
CD4,VEGFA,MEF2C,VEGFA#MEF2C,Endothelial,0.0,0.0,243
CD4,ADM,NF1,ADM#NF1,Endothelial,0.0,0.0,243
CD4,WNT5A,NF1,WNT5A#NF1,Endothelial,0.0,0.0,243
CD4,CSF1,NFATC1,CSF1#NFATC1,Endothelial,0.0,0.0,243
CD4,IL18,NFATC4,IL18#NFATC4,Endothelial,0.0,0.0,243
CD4,IL18,PTEN,IL18#PTEN,Endothelial,0.0,0.0,243
CD4,BMP2,REST,BMP2#REST,Endothelial,0.0,0.0,243
CD4,PDGFD,REST,PDGFD#REST,Endothelial,0.0,0.0,243
CD4,BMP2,RXRA,BMP2#RXRA,Endothelial,0.0,0.0,243
CD4,BMP6,RXRA,BMP6#RXRA,Endothelial,0.0,0.0,243
CD4,CXCL12,RXRA,CXCL12#RXRA,Endothelial,0.0,0.0,243
CD4,IL26,RXRA,IL26#RXRA,Endothelial,0.0,0.0,243
CD4,IL18,SIN3A,IL18#SIN3A,Endothelial,0.0,0.0,243
CD4,LIF,SMC3,LIF#SMC3,Endothelial,0.0,0.0,243
CD4,BMP4,TBX2,BMP4#TBX2,Endothelial,0.0,0.0,243
CD4,BMP4,TFAP2A,BMP4#TFAP2A,Endothelial,0.0,0.0,243
CD4,BMP6,VDR,BMP6#VDR,Endothelial,0.0,0.0,243
CD4,IGF1,ZFX,IGF1#ZFX,Endothelial,0.0,0.0,243
CD4,TGFB1,ZNF281,TGFB1#ZNF281,Endothelial,0.0,0.0,243
CD4,IL18,ELK1,IL18#ELK1,Enteric_glia,0.0,0.0,283
CD4,ADM,ELK1,ADM#ELK1,Enteric_glia,0.0,0.0,283
CD4,VEGFA,ETS1,VEGFA#ETS1,Enteric_glia,0.0,0.0,283
CD4,IGF1,FOXO3,IGF1#FOXO3,Enteric_glia,0.0,0.0,283
CD4,BMP4,GATA2,BMP4#GATA2,Enteric_glia,0.0,0.0,283
CD4,IFNG,HDAC2,IFNG#HDAC2,Enteric_glia,0.0,0.0,283
CD4,IL26,HDAC2,IL26#HDAC2,Enteric_glia,0.0,0.0,283
CD4,IL18,KLF16,IL18#KLF16,Enteric_glia,0.0,0.0,283
CD4,IL26,KLF16,IL26#KLF16,Enteric_glia,0.0,0.0,283
CD4,VEGFC,MAX,VEGFC#MAX,Enteric_glia,0.0,0.0,283
CD4,EBI3,MAX,EBI3#MAX,Enteric_glia,0.0,0.0,283
CD4,IL26,MAX,IL26#MAX,Enteric_glia,0.0,0.0,283
CD4,VEGFA,MEF2C,VEGFA#MEF2C,Enteric_glia,0.0,0.0,283
CD4,ADM,NF1,ADM#NF1,Enteric_glia,0.0,0.0,283
CD4,WNT5A,NF1,WNT5A#NF1,Enteric_glia,0.0,0.0,283
CD4,CSF1,NFATC1,CSF1#NFATC1,Enteric_glia,0.0,0.0,283
CD4,IL18,NFATC4,IL18#NFATC4,Enteric_glia,0.0,0.0,283
CD4,IL18,PTEN,IL18#PTEN,Enteric_glia,0.0,0.0,283
CD4,BMP2,REST,BMP2#REST,Enteric_glia,0.0,0.0,283
CD4,PDGFD,REST,PDGFD#REST,Enteric_glia,0.0,0.0,283
CD4,BMP2,RXRA,BMP2#RXRA,Enteric_glia,0.0,0.0,283
CD4,BMP6,RXRA,BMP6#RXRA,Enteric_glia,0.0,0.0,283
CD4,CXCL12,RXRA,CXCL12#RXRA,Enteric_glia,0.0,0.0,283
CD4,IL26,RXRA,IL26#RXRA,Enteric_glia,0.0,0.0,283
CD4,IL18,SIN3A,IL18#SIN3A,Enteric_glia,0.0,0.0,283
CD4,LIF,SMC3,LIF#SMC3,Enteric_glia,0.0,0.0,283
CD4,BMP4,TBX2,BMP4#TBX2,Enteric_glia,0.0,0.0,283
CD4,BMP4,TFAP2A,BMP4#TFAP2A,Enteric_glia,0.0,0.0,283
CD4,BMP6,VDR,BMP6#VDR,Enteric_glia,0.0,0.0,283
CD4,IGF1,ZFX,IGF1#ZFX,Enteric_glia,0.0,0.0,283
CD4,TGFB1,ZNF281,TGFB1#ZNF281,Enteric_glia,0.0,0.0,283
CD4,IL18,ELK1,IL18#ELK1,Fibroblast,0.0,0.0,1369
CD4,ADM,ELK1,ADM#ELK1,Fibroblast,0.0,0.0,1369
CD4,VEGFA,ETS1,VEGFA#ETS1,Fibroblast,0.0,0.0,1369
CD4,IGF1,FOXO3,IGF1#FOXO3,Fibroblast,0.0,0.0,1369
CD4,BMP4,GATA2,BMP4#GATA2,Fibroblast,0.0,0.0,1369
CD4,IFNG,HDAC2,IFNG#HDAC2,Fibroblast,0.0,0.0,1369
CD4,IL26,HDAC2,IL26#HDAC2,Fibroblast,0.0,0.0,1369
CD4,IL18,KLF16,IL18#KLF16,Fibroblast,0.0,0.0,1369
CD4,IL26,KLF16,IL26#KLF16,Fibroblast,0.0,0.0,1369
CD4,VEGFC,MAX,VEGFC#MAX,Fibroblast,0.0,0.0,1369
CD4,EBI3,MAX,EBI3#MAX,Fibroblast,0.0,0.0,1369
CD4,IL26,MAX,IL26#MAX,Fibroblast,0.0,0.0,1369
CD4,VEGFA,MEF2C,VEGFA#MEF2C,Fibroblast,0.0,0.0,1369
CD4,ADM,NF1,ADM#NF1,Fibroblast,0.0,0.0,1369
CD4,WNT5A,NF1,WNT5A#NF1,Fibroblast,0.0,0.0,1369
CD4,CSF1,NFATC1,CSF1#NFATC1,Fibroblast,0.0,0.0,1369
CD4,IL18,NFATC4,IL18#NFATC4,Fibroblast,0.0,0.0,1369
CD4,IL18,PTEN,IL18#PTEN,Fibroblast,0.0,0.0,1369
CD4,BMP2,REST,BMP2#REST,Fibroblast,0.0,0.0,1369
CD4,PDGFD,REST,PDGFD#REST,Fibroblast,0.0,0.0,1369
