gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,B,0.0,0.0,20
CD3E,TGFB1,ACVR1B,TGFB1$ACVR1B,B,0.0,0.0,20
CD3E,BMP2,BMPR1A,BMP2$BMPR1A,B,0.0,0.0,20
CD3E,BMP2,ACVR2A,BMP2$ACVR2A,B,0.0,0.0,20
CD3E,BMP2,BMPR2,BMP2$BMPR2,B,0.0,0.0,20
CD3E,BMP4,BMPR1A,BMP4$BMPR1A,B,0.0,0.0,20
CD3E,BMP4,ACVR2A,BMP4$ACVR2A,B,0.0,0.0,20
CD3E,BMP4,BMPR2,BMP4$BMPR2,B,0.0,0.0,20
CD3E,BMP6,BMPR1A,BMP6$BMPR1A,B,0.0,0.0,20
CD3E,GDF11,ACVR1B,GDF11$ACVR1B,B,0.0,0.0,20
CD3E,TGFA,EGFR,TGFA$EGFR,B,0.0,0.0,20
CD3E,TGFA,ERBB2,TGFA$ERBB2,B,0.0,0.0,20
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,B,0.0,0.0,20
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,B,0.0,0.0,20
CD3E,IGF1,ITGA6,IGF1$ITGA6,B,0.0,0.0,20
CD3E,IGF1,ITGB4,IGF1$ITGB4,B,0.0,0.0,20
CD3E,IHH,PTCH1,IHH$PTCH1,B,0.0,0.0,20
CD3E,IHH,SMO,IHH$SMO,B,0.0,0.0,20
CD3E,CCL15,CCR1,CCL15$CCR1,B,0.0,0.0,20
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,B,0.0,0.0,20
CD3E,IL7,IL2RG,IL7$IL2RG,B,0.0,0.0,20
CD3E,IL15,IL2RG,IL15$IL2RG,B,0.0,0.0,20
CD3E,IL18,IL18R1,IL18$IL18R1,B,0.0,0.0,20
CD3E,IL16,CD4,IL16$CD4,B,0.0,0.0,20
CD3E,LTB,LTBR,LTB$LTBR,B,0.0,0.0,20
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,B,0.0,0.0,20
CD3E,TNFSF13,TNFRSF17,TNFSF13$TNFRSF17,B,0.0,0.0,20
CD3E,TNFSF13,TNFRSF13B,TNFSF13$TNFRSF13B,B,0.0,0.0,20
CD3E,POSTN,ITGAV,POSTN$ITGAV,B,0.0,0.0,20
CD3E,POSTN,ITGB3,POSTN$ITGB3,B,0.0,0.0,20
CD3E,POSTN,ITGB5,POSTN$ITGB5,B,0.0,0.0,20
CD3E,EDN1,EDNRB,EDN1$EDNRB,B,0.0,0.0,20
CD3E,GZMA,F2R,GZMA$F2R,B,0.0,0.0,20
CD3E,GAS6,AXL,GAS6$AXL,B,0.0,0.0,20
CD3E,GAS6,MERTK,GAS6$MERTK,B,0.0,0.0,20
CD3E,GAS6,TYRO3,GAS6$TYRO3,B,0.0,0.0,20
CD3E,GRN,SORT1,GRN$SORT1,B,0.0,0.0,20
CD3E,GUCA2A,GUCY2C,GUCA2A$GUCY2C,B,0.0,0.0,20
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,B,0.0,0.0,20
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,B,0.0,0.0,20
CD3E,LGALS9,CD44,LGALS9$CD44,B,0.0,0.0,20
CD3E,COL6A2,CD44,COL6A2$CD44,B,0.0,0.0,20
CD3E,CDH1,CDH1,CDH1$CDH1,B,0.0,0.0,20
CD3E,CDH1,ITGAE,CDH1$ITGAE,B,0.0,0.0,20
CD3E,F11R,ITGAL,F11R$ITGAL,B,0.0,0.0,20
CD3E,LCK,CD8A,LCK$CD8A,B,0.0,0.0,20
CD3E,HLA-DRA,CD4,HLA-DRA$CD4,B,0.0,0.0,20
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Endothelial,0.0,0.0,391
CD3E,TGFB1,ACVR1B,TGFB1$ACVR1B,Endothelial,0.0,0.0,391
CD3E,BMP2,BMPR1A,BMP2$BMPR1A,Endothelial,0.0,0.0,391
CD3E,BMP2,ACVR2A,BMP2$ACVR2A,Endothelial,0.0,0.0,391
CD3E,BMP2,BMPR2,BMP2$BMPR2,Endothelial,0.0,0.0,391
CD3E,BMP4,BMPR1A,BMP4$BMPR1A,Endothelial,0.0,0.0,391
CD3E,BMP4,ACVR2A,BMP4$ACVR2A,Endothelial,0.0,0.0,391
CD3E,BMP4,BMPR2,BMP4$BMPR2,Endothelial,0.0,0.0,391
CD3E,BMP6,BMPR1A,BMP6$BMPR1A,Endothelial,0.0,0.0,391
CD3E,GDF11,ACVR1B,GDF11$ACVR1B,Endothelial,0.0,0.0,391
CD3E,TGFA,EGFR,TGFA$EGFR,Endothelial,0.0,0.0,391
CD3E,TGFA,ERBB2,TGFA$ERBB2,Endothelial,0.0,0.0,391
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,Endothelial,0.0,0.0,391
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,Endothelial,0.0,0.0,391
CD3E,IGF1,ITGA6,IGF1$ITGA6,Endothelial,0.0,0.0,391
CD3E,IGF1,ITGB4,IGF1$ITGB4,Endothelial,0.0,0.0,391
CD3E,IHH,PTCH1,IHH$PTCH1,Endothelial,0.0,0.0,391
CD3E,IHH,SMO,IHH$SMO,Endothelial,0.0,0.0,391
CD3E,CCL15,CCR1,CCL15$CCR1,Endothelial,0.0,0.0,391
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,Endothelial,0.0,0.0,391
CD3E,IL7,IL2RG,IL7$IL2RG,Endothelial,0.0,0.0,391
CD3E,IL15,IL2RG,IL15$IL2RG,Endothelial,0.0,0.0,391
CD3E,IL18,IL18R1,IL18$IL18R1,Endothelial,0.0,0.0,391
CD3E,IL16,CD4,IL16$CD4,Endothelial,0.0,0.0,391
CD3E,LTB,LTBR,LTB$LTBR,Endothelial,0.0,0.0,391
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Endothelial,0.0,0.0,391
CD3E,TNFSF13,TNFRSF17,TNFSF13$TNFRSF17,Endothelial,0.0,0.0,391
CD3E,TNFSF13,TNFRSF13B,TNFSF13$TNFRSF13B,Endothelial,0.0,0.0,391
CD3E,POSTN,ITGAV,POSTN$ITGAV,Endothelial,0.0,0.0,391
CD3E,POSTN,ITGB3,POSTN$ITGB3,Endothelial,0.0,0.0,391
CD3E,POSTN,ITGB5,POSTN$ITGB5,Endothelial,0.0,0.0,391
CD3E,EDN1,EDNRB,EDN1$EDNRB,Endothelial,0.0,0.0,391
CD3E,GZMA,F2R,GZMA$F2R,Endothelial,0.0,0.0,391
CD3E,GAS6,AXL,GAS6$AXL,Endothelial,0.0,0.0,391
CD3E,GAS6,MERTK,GAS6$MERTK,Endothelial,0.0,0.0,391
CD3E,GAS6,TYRO3,GAS6$TYRO3,Endothelial,0.0,0.0,391
CD3E,GRN,SORT1,GRN$SORT1,Endothelial,0.0,0.0,391
CD3E,GUCA2A,GUCY2C,GUCA2A$GUCY2C,Endothelial,0.0,0.0,391
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,Endothelial,0.0,0.0,391
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,Endothelial,0.0,0.0,391
CD3E,LGALS9,CD44,LGALS9$CD44,Endothelial,0.0,0.0,391
CD3E,COL6A2,CD44,COL6A2$CD44,Endothelial,0.0,0.0,391
CD3E,CDH1,CDH1,CDH1$CDH1,Endothelial,0.0,0.0,391
CD3E,CDH1,ITGAE,CDH1$ITGAE,Endothelial,0.0,0.0,391
CD3E,F11R,ITGAL,F11R$ITGAL,Endothelial,0.0,0.0,391
CD3E,LCK,CD8A,LCK$CD8A,Endothelial,0.0,0.0,391
CD3E,HLA-DRA,CD4,HLA-DRA$CD4,Endothelial,0.0,0.0,391
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Enteric_glia,0.0,0.0,92
CD3E,TGFB1,ACVR1B,TGFB1$ACVR1B,Enteric_glia,0.0,0.0,92
CD3E,BMP2,BMPR1A,BMP2$BMPR1A,Enteric_glia,0.0,0.0,92
CD3E,BMP2,ACVR2A,BMP2$ACVR2A,Enteric_glia,0.0,0.0,92
CD3E,BMP2,BMPR2,BMP2$BMPR2,Enteric_glia,0.0,0.0,92
CD3E,BMP4,BMPR1A,BMP4$BMPR1A,Enteric_glia,0.0,0.0,92
CD3E,BMP4,ACVR2A,BMP4$ACVR2A,Enteric_glia,0.0,0.0,92
CD3E,BMP4,BMPR2,BMP4$BMPR2,Enteric_glia,0.0,0.0,92
CD3E,BMP6,BMPR1A,BMP6$BMPR1A,Enteric_glia,0.0,0.0,92
CD3E,GDF11,ACVR1B,GDF11$ACVR1B,Enteric_glia,0.0,0.0,92
CD3E,TGFA,EGFR,TGFA$EGFR,Enteric_glia,0.0,0.0,92
CD3E,TGFA,ERBB2,TGFA$ERBB2,Enteric_glia,0.0,0.0,92
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,Enteric_glia,0.0,0.0,92
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,Enteric_glia,0.0,0.0,92
CD3E,IGF1,ITGA6,IGF1$ITGA6,Enteric_glia,0.0,0.0,92
CD3E,IGF1,ITGB4,IGF1$ITGB4,Enteric_glia,0.0,0.0,92
CD3E,IHH,PTCH1,IHH$PTCH1,Enteric_glia,0.0,0.0,92
CD3E,IHH,SMO,IHH$SMO,Enteric_glia,0.0,0.0,92
CD3E,CCL15,CCR1,CCL15$CCR1,Enteric_glia,0.0,0.0,92
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,Enteric_glia,0.0,0.0,92
CD3E,IL7,IL2RG,IL7$IL2RG,Enteric_glia,0.0,0.0,92
CD3E,IL15,IL2RG,IL15$IL2RG,Enteric_glia,0.0,0.0,92
CD3E,IL18,IL18R1,IL18$IL18R1,Enteric_glia,0.0,0.0,92
CD3E,IL16,CD4,IL16$CD4,Enteric_glia,0.0,0.0,92
CD3E,LTB,LTBR,LTB$LTBR,Enteric_glia,0.0,0.0,92
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Enteric_glia,0.0,0.0,92
CD3E,TNFSF13,TNFRSF17,TNFSF13$TNFRSF17,Enteric_glia,0.0,0.0,92
CD3E,TNFSF13,TNFRSF13B,TNFSF13$TNFRSF13B,Enteric_glia,0.0,0.0,92
CD3E,POSTN,ITGAV,POSTN$ITGAV,Enteric_glia,0.0,0.0,92
CD3E,POSTN,ITGB3,POSTN$ITGB3,Enteric_glia,0.0,0.0,92
CD3E,POSTN,ITGB5,POSTN$ITGB5,Enteric_glia,0.0,0.0,92
CD3E,EDN1,EDNRB,EDN1$EDNRB,Enteric_glia,0.0,0.0,92
CD3E,GZMA,F2R,GZMA$F2R,Enteric_glia,0.0,0.0,92
CD3E,GAS6,AXL,GAS6$AXL,Enteric_glia,0.0,0.0,92
CD3E,GAS6,MERTK,GAS6$MERTK,Enteric_glia,0.0,0.0,92
CD3E,GAS6,TYRO3,GAS6$TYRO3,Enteric_glia,0.0,0.0,92
CD3E,GRN,SORT1,GRN$SORT1,Enteric_glia,0.0,0.0,92
CD3E,GUCA2A,GUCY2C,GUCA2A$GUCY2C,Enteric_glia,0.0,0.0,92
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,Enteric_glia,0.0,0.0,92
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,Enteric_glia,0.0,0.0,92
CD3E,LGALS9,CD44,LGALS9$CD44,Enteric_glia,0.0,0.0,92
CD3E,COL6A2,CD44,COL6A2$CD44,Enteric_glia,0.0,0.0,92
CD3E,CDH1,CDH1,CDH1$CDH1,Enteric_glia,0.0,0.0,92
CD3E,CDH1,ITGAE,CDH1$ITGAE,Enteric_glia,0.0,0.0,92
CD3E,F11R,ITGAL,F11R$ITGAL,Enteric_glia,0.0,0.0,92
CD3E,LCK,CD8A,LCK$CD8A,Enteric_glia,0.0,0.0,92
CD3E,HLA-DRA,CD4,HLA-DRA$CD4,Enteric_glia,0.0,0.0,92
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Fibroblast,0.0,0.0,944
