gene,tf,cell_type,mean,std,n
CD3E,ARID3B,Effector CD8 T cell,0.38426307,0.02210969,4715
CD3E,BCL6,Effector CD8 T cell,-2.2254117,0.15674876,4715
CD3E,BCL6B,Effector CD8 T cell,-0.47596744,0.084747545,4715
CD3E,CTCF,Effector CD8 T cell,0.2070638,0.014216238,4715
CD3E,EHF,Effector CD8 T cell,0.030720156,0.0046579055,4715
CD3E,ELK4,Effector CD8 T cell,1.4069045,0.3076556,4715
CD3E,EP300,Effector CD8 T cell,0.24940488,0.055000674,4715
CD3E,ESRRA,Effector CD8 T cell,-0.452073,0.19239813,4715
CD3E,ETV5,Effector CD8 T cell,-0.839011,0.10951103,4715
CD3E,FLI1,Effector CD8 T cell,2.4607542,0.13502571,4715
CD3E,FOXA1,Effector CD8 T cell,0.37535208,0.023689428,4715
CD3E,FOXD2,Effector CD8 T cell,0.09299473,0.061451692,4715
CD3E,FOXI1,Effector CD8 T cell,-0.030254383,0.0019562775,4715
CD3E,FOXJ2,Effector CD8 T cell,0.020047596,0.036261313,4715
CD3E,FOXL2,Effector CD8 T cell,0.17156596,0.010631448,4715
CD3E,FOXO1,Effector CD8 T cell,0.10923082,0.058477934,4715
CD3E,FOXO3,Effector CD8 T cell,-0.34320816,0.02855168,4715
CD3E,FOXO4,Effector CD8 T cell,2.7969797,0.2413764,4715
CD3E,GATA1,Effector CD8 T cell,-0.20645176,0.0486702,4715
CD3E,GATA2,Effector CD8 T cell,-0.67215586,0.09862037,4715
CD3E,GATA3,Effector CD8 T cell,2.281061,0.29832822,4715
CD3E,HOXA5,Effector CD8 T cell,-0.5206855,0.16510954,4715
CD3E,HOXB4,Effector CD8 T cell,-0.472865,0.027903663,4715
CD3E,HOXB6,Effector CD8 T cell,0.4412842,0.04054644,4715
CD3E,HOXB7,Effector CD8 T cell,-0.029754188,0.008741986,4715
CD3E,HOXB9,Effector CD8 T cell,0.014549751,0.016910693,4715
CD3E,IRX1,Effector CD8 T cell,-1.563041,0.18592541,4715
CD3E,MECOM,Effector CD8 T cell,0.45402333,0.028193481,4715
CD3E,MEF2A,Effector CD8 T cell,-1.2583191,0.19037662,4715
CD3E,MYEF2,Effector CD8 T cell,-0.20176752,0.16789421,4715
CD3E,NR3C1,Effector CD8 T cell,-0.57352656,0.21737629,4715
CD3E,PDX1,Effector CD8 T cell,0.34362757,0.02134076,4715
CD3E,PITX1,Effector CD8 T cell,0.10357938,0.0045719473,4715
CD3E,POU1F1,Effector CD8 T cell,-0.35098302,0.021985507,4715
CD3E,POU2F1,Effector CD8 T cell,-0.13491777,0.10700907,4715
CD3E,PPARGC1A,Effector CD8 T cell,-0.46240163,0.025277523,4715
CD3E,RUNX1,Effector CD8 T cell,0.0005332348,0.004722283,4715
CD3E,SIN3A,Effector CD8 T cell,1.318183,0.08550677,4715
CD3E,SMAD4,Effector CD8 T cell,-0.59002966,0.036714412,4715
CD3E,STAT1,Effector CD8 T cell,-0.12873168,0.028384427,4715
CD3E,STAT3,Effector CD8 T cell,-0.82839775,0.10826119,4715
CD3E,STAT5A,Effector CD8 T cell,0.43895847,0.026635498,4715
CD3E,STAT5B,Effector CD8 T cell,1.940741,0.122159086,4715
CD3E,TCF7L2,Effector CD8 T cell,-1.730631,0.115923285,4715
CD3E,THRA,Effector CD8 T cell,0.7205864,0.3693577,4715
CD3E,THRB,Effector CD8 T cell,-0.8745407,0.061920762,4715
CD3E,ZBTB1,Effector CD8 T cell,2.4485707,0.15249486,4715
CD3E,ARID3B,Gamma delta T cell,0.38170367,0.035931308,2417
CD3E,BCL6,Gamma delta T cell,-2.2090209,0.25462788,2417
CD3E,BCL6B,Gamma delta T cell,-0.48048967,0.07310485,2417
CD3E,CTCF,Gamma delta T cell,0.20551448,0.021350782,2417
CD3E,EHF,Gamma delta T cell,0.031698145,0.012769525,2417
CD3E,ELK4,Gamma delta T cell,1.4276364,0.26581144,2417
CD3E,EP300,Gamma delta T cell,0.24536352,0.063529275,2417
CD3E,ESRRA,Gamma delta T cell,-0.46246502,0.18422924,2417
CD3E,ETV5,Gamma delta T cell,-0.8420336,0.10886107,2417
CD3E,FLI1,Gamma delta T cell,2.4414287,0.25594023,2417
CD3E,FOXA1,Gamma delta T cell,0.37220904,0.042002562,2417
CD3E,FOXD2,Gamma delta T cell,0.098815896,0.059493378,2417
CD3E,FOXI1,Gamma delta T cell,-0.029906696,0.004476079,2417
CD3E,FOXJ2,Gamma delta T cell,0.016120255,0.030437363,2417
CD3E,FOXL2,Gamma delta T cell,0.17009807,0.019297218,2417
